1nz,N,Z,A,EL,MASSEXCESS,AtomicMass,BE,BE_uncer
-1,0,1,1,H ,7288.97061,1.0078250322,7680.144,7680.144
1,1,0,1, n,8071.31713,1.0086649158,7073.915,0
0,1,1,2,H ,13135.72176,2.0141017781,0,0
-1,1,2,3,He,14931.21793,3.0160293226,1112.283,0
1,2,1,3,H ,14949.80993,3.0160492819,7976.206,0
0,2,2,4,He,2424.91561,4.0026032541,7475.614,0
2,3,1,4,H ,24621.127,4.026431868,2572.68,0
-2,1,3,4,Li,25323.189,4.027185562,7469.849,0
1,3,2,5,He,11231.233,5.012057224,2827.265,0
-1,2,3,5,Li,11678.886,5.0125378,0,0
3,4,1,5,H ,32892.444,5.035311493,8447.744,0
0,3,3,6,Li,14086.87895,6.0151228874,8448.635,0
2,4,2,6,He,17592.095,6.018885891,7699.46,0
-2,2,4,6,Be,18375.033,6.019726409,7750.728,0
4,5,1,6,H ,41875.721,6.044955437,8481.167,0
1,4,3,7,Li,14907.10529,7.0160034366,7767.097,0
-1,3,4,7,Be,15768.999,7.016928717,7779.018,0
3,5,2,7,He,26073.126,7.027990654,8493.129,0
-3,2,5,7,B ,27676.55,7.029712,8497.63,0
0,4,4,8,Be,4941.671,8.005305102,5332.331,0
2,5,3,8,Li,20945.804,8.022486246,8032.24,0
4,6,2,8,He,31609.681,8.03393439,8111.493,0
-2,3,5,8,B ,22921.567,8.024607316,8595.259,0
-4,2,6,8,C ,35064.268,8.037643042,8712.029,0
1,5,4,9,Be,11348.453,9.012183066,7520.319,0
3,6,3,9,Li,24954.902,9.026790191,8717.446,0
-1,4,5,9,B ,12416.488,9.013329649,8576.072,0
-3,3,6,9,C ,28910.972,9.031037207,5606.439,0.001
5,7,2,9,He,40935.826,9.043946419,8557.025,0
0,5,5,10,B ,12050.609,10.012936862,8697.441,0
-2,4,6,10,C ,15698.672,10.016853218,8705.236,0
2,6,4,10,Be,12607.488,10.013534695,8427.622,0
4,7,3,10,Li,33052.624,10.035483453,8708.456,0
6,8,2,10,He,49197.143,10.052815308,8431.39,0
-4,3,7,10,N ,38800.026,10.041653543,8710.675,0
1,6,5,11,B ,8667.707,11.009305166,8732.595,0
-1,5,6,11,C ,10649.396,11.011432597,8710.983,0
3,7,4,11,Be,20177.167,11.021661081,8396.188,0
5,8,3,11,Li,40728.254,11.043723581,8409.978,0
-3,4,7,11,N ,24303.559,11.026090945,8413.699,0
0,6,6,12,C ,0,12,8423.736,0
-2,5,7,12,N ,17338.068,12.018613182,8437.731,0
2,7,5,12,B ,13369.397,12.014352638,8695.729,0
4,8,4,12,Be,25077.76,12.026922083,8106.609,0
-4,4,8,12,O ,31914.613,12.034261747,8083.847,0
6,9,3,12,Li,49009.571,12.052613941,8087.427,0
1,7,6,13,C ,3125.00888,13.0033548352,8430.324,0
-1,6,7,13,N ,5345.481,13.005738609,6927.732,0.001
3,8,5,13,B ,16561.947,13.017779981,8516.546,0
-3,5,8,13,O ,23115.432,13.024815437,8097.882,0
5,9,4,13,Be,33659.077,13.036134507,8260.709,0.001
7,10,3,13,Li,56980.888,13.061171503,8725.2,0
0,7,7,14,N ,2863.41672,14.0030740044,8097.429,0
